Name	Surname	Sex	Start.Date	End.Date	End.Reason.1	Start.Date.2	End.Date.2	End.Reason.2
Stanislav	Balík	M	26.05.2004	26.05.2014	end of period			
Iva	Brožová	F	15.07.1993	08.12.1999	left			
Vojtìch	Cepl	M	15.07.1993	15.07.2003	end of period			
Vladimír	Èermák	M	15.07.1993	15.07.2003	end of period			
Ludvík	David	M	07.08.2013	30.06.2016	NA			
František	Duchoò	M	06.06.2002	06.06.2012	end of period			
Jaroslav	Fenyk	M	03.05.2013	30.06.2016	NA			
Josef	Fiala	M	17.12.2015	30.06.2016	NA			
Jan	Filip	M	03.05.2013	30.06.2016	NA			
Vlasta	Formánková	F	05.08.2005	05.08.2015	end of period			
Vojen	Güttler	M	15.07.1993	15.07.2003	end of period	06.08.2003	06.08.2013	end of period
Miloš	Holeèek	M	15.07.1993	15.07.2003	end of period			
Pavel	Holländer	M	15.07.1993	15.07.2003	end of period	06.08.2003	06.08.2013	end of period
Ivana	Janù	F	09.11.1993	09.02.2002	ICTY	16.09.2004	16.09.2014	end of period
Jaromír	Jirsa	M	07.10.2015	30.06.2016	NA			
Vladimír	Jurka	M	15.07.1993	15.07.2003	end of period			
Zdenìk	Kessler	M	15.07.1993	12.02.2003	health issues			
Vladimír	Klokoèka	M	15.07.1993	15.07.2003	end of period			
Vladimír	Kùrka	M	15.12.2005	15.12.2015	end of period			
Dagmar	Lastovecká	F	29.08.2003	29.08.2013	end of period			
Tomáš	Lichovník	M	19.06.2014	30.06.2016	NA			
Jiøí	Malenovský	M	04.04.2000	08.05.2004	CJEU			
Jiøí	Mucha	M	28.01.2003	28.01.2013	end of period			
Jan	Musil	M	27.11.2003	27.11.2013	end of period	20.01.2014	30.06.2016	NA
Jiøí	Nykodým	M	17.12.2003	17.12.2013	end of period			
Vladimír	Paul	M	15.07.1993	03.04.2002	death			
Antonín	Procházka	M	15.07.1993	15.07.2003	end of period			
Pavel	Rychetský	M	06.08.2003	06.08.2013	end of period	07.08.2013	30.06.2016	NA
Vladimír	Sládeèek	M	04.06.2013	30.06.2016	NA			
Radovan	Suchánek	M	26.11.2013	30.06.2016	NA			
Vlastimil	Ševèík	M	15.07.1993	15.12.2002	death			
Kateøina	Šimáèková	F	07.08.2013	30.06.2016	NA			
Vojtìch	Šimíèek	M	12.06.2014	30.06.2016	NA			
Milada	Tomková	F	03.05.2013	30.06.2016	NA			
David	Uhlíø	M	10.12.2014	30.06.2016	NA			
Pavel	Varvaøovský	M	29.03.1994	29.03.2004	end of period			
Miloslav	Výborný	M	03.06.2003	03.06.2013	end of period			
Eliška	Wagnerová	F	20.03.2002	20.03.2012	end of period			
Eva	Zarembová	F	09.11.1993	09.11.2003	end of period			
Jiøí	Zemánek	M	20.01.2014	30.06.2016	NA			
Michaela	Židlická	F	16.06.2004	16.06.2014	end of period			
